sentence,arrival,departure,nlp_tuple
depuis Sainte-Cécile-d'Andorge je veux aller a Saint-Ouen-l'Aumône Quartier de l'Église pour boire un monaco.,Saint-Ouen-l'Aumône Quartier de l'Église,Sainte-Cécile-d'Andorge,"(""depuis Sainte-Cécile-d'Andorge je veux aller a Saint-Ouen-l'Aumône Quartier de l'Église pour boire un monaco."", {'entities': [(47, 87, 'ARR'), (7, 30, 'DEP')]})"
depuis Saint-Geours-de-Maremne je veux aller a Janzé pour boire un monaco.,Janzé,Saint-Geours-de-Maremne,"('depuis Saint-Geours-de-Maremne je veux aller a Janzé pour boire un monaco.', {'entities': [(47, 52, 'ARR'), (7, 30, 'DEP')]})"
Comment me rendre à Allée Royale depuis la gare de La Celle-Saint-Cloud ?,Allée Royale,La Celle-Saint-Cloud,"('Comment me rendre à Allée Royale depuis la gare de La Celle-Saint-Cloud ?', {'entities': [(20, 32, 'ARR'), (51, 71, 'DEP')]})"
Je veux aller voir mon ami Albert à Beauvoir-sur-Niort en partant de Saint-Patrice,Beauvoir-sur-Niort,Saint-Patrice,"('Je veux aller voir mon ami Albert à Beauvoir-sur-Niort en partant de Saint-Patrice', {'entities': [(36, 54, 'ARR'), (69, 82, 'DEP')]})"
Il y a-t-il des trains de Vincey à Villeneuve Triage,Villeneuve Triage,Vincey,"('Il y a-t-il des trains de Vincey à Villeneuve Triage', {'entities': [(35, 52, 'ARR'), (26, 32, 'DEP')]})"
Il y a-t-il des trains de Saint-Julien-en-Genevois à Raedersheim,Raedersheim,Saint-Julien-en-Genevois,"('Il y a-t-il des trains de Saint-Julien-en-Genevois à Raedersheim', {'entities': [(53, 64, 'ARR'), (26, 50, 'DEP')]})"
Il y a-t-il des trains de La Défense Grande Arche RER E à Sainte-Gauburge,Sainte-Gauburge,La Défense Grande Arche RER E,"('Il y a-t-il des trains de La Défense Grande Arche RER E à Sainte-Gauburge', {'entities': [(58, 73, 'ARR'), (26, 55, 'DEP')]})"
je voudrais aller de Vertaizon à Rosières-aux-Salines,Rosières-aux-Salines,Vertaizon,"('je voudrais aller de Vertaizon à Rosières-aux-Salines', {'entities': [(33, 53, 'ARR'), (21, 30, 'DEP')]})"
Je veux aller voir mon ami Albert à Hazebrouck en partant de La Garenne-Colombes,Hazebrouck,La Garenne-Colombes,"('Je veux aller voir mon ami Albert à Hazebrouck en partant de La Garenne-Colombes', {'entities': [(36, 46, 'ARR'), (61, 80, 'DEP')]})"
depuis Tulle je veux aller a Bréval pour boire un monaco.,Bréval,Tulle,"('depuis Tulle je veux aller a Bréval pour boire un monaco.', {'entities': [(29, 35, 'ARR'), (7, 12, 'DEP')]})"
je voudrais aller de Montreux-Vieux à Digoin,Digoin,Montreux-Vieux,"('je voudrais aller de Montreux-Vieux à Digoin', {'entities': [(38, 44, 'ARR'), (21, 35, 'DEP')]})"
Comment me rendre à Cagnes-sur-Mer depuis la gare de Saint-Astier ?,Cagnes-sur-Mer,Saint-Astier,"('Comment me rendre à Cagnes-sur-Mer depuis la gare de Saint-Astier ?', {'entities': [(20, 34, 'ARR'), (53, 65, 'DEP')]})"
je veux faire Bogny-sur-Meuse Vosves,Vosves,Bogny-sur-Meuse,"('je veux faire Bogny-sur-Meuse Vosves', {'entities': [(30, 36, 'ARR'), (14, 29, 'DEP')]})"
Je veux aller voir mon ami Albert à Franconville - Le Plessis-Bouchard en partant de Villabé,Franconville - Le Plessis-Bouchard,Villabé,"('Je veux aller voir mon ami Albert à Franconville - Le Plessis-Bouchard en partant de Villabé', {'entities': [(36, 70, 'ARR'), (85, 92, 'DEP')]})"
je veux faire Bagnac-sur-Célé Condat - Le Lardin,Condat - Le Lardin,Bagnac-sur-Célé,"('je veux faire Bagnac-sur-Célé Condat - Le Lardin', {'entities': [(30, 48, 'ARR'), (14, 29, 'DEP')]})"
je veux faire Val-de-Reuil Clelles - Mens,Clelles - Mens,Val-de-Reuil,"('je veux faire Val-de-Reuil Clelles - Mens', {'entities': [(27, 41, 'ARR'), (14, 26, 'DEP')]})"
Comment me rendre à Saint-Macaire depuis la gare de Saint-Denis-de-Pile ?,Saint-Macaire,Saint-Denis-de-Pile,"('Comment me rendre à Saint-Macaire depuis la gare de Saint-Denis-de-Pile ?', {'entities': [(20, 33, 'ARR'), (52, 71, 'DEP')]})"
je veux faire Velars-sur-Ouche Ormoy-Villers,Ormoy-Villers,Velars-sur-Ouche,"('je veux faire Velars-sur-Ouche Ormoy-Villers', {'entities': [(31, 44, 'ARR'), (14, 30, 'DEP')]})"
Je veux aller voir mon ami Albert à La Réole en partant de Rosières-aux-Salines,La Réole,Rosières-aux-Salines,"('Je veux aller voir mon ami Albert à La Réole en partant de Rosières-aux-Salines', {'entities': [(36, 44, 'ARR'), (59, 79, 'DEP')]})"
Comment me rendre à Vrigne-Meuse depuis la gare de Les Quatre Roues ?,Vrigne-Meuse,Les Quatre Roues,"('Comment me rendre à Vrigne-Meuse depuis la gare de Les Quatre Roues ?', {'entities': [(20, 32, 'ARR'), (51, 67, 'DEP')]})"
Il y a-t-il des trains de Marquillies à Montauban Ville Bourbon,Montauban Ville Bourbon,Marquillies,"('Il y a-t-il des trains de Marquillies à Montauban Ville Bourbon', {'entities': [(40, 63, 'ARR'), (26, 37, 'DEP')]})"
Je veux aller voir mon ami Albert à Les Cabrils en partant de Saint-Ouen-l'Aumône,Les Cabrils,Saint-Ouen-l'Aumône,"(""Je veux aller voir mon ami Albert à Les Cabrils en partant de Saint-Ouen-l'Aumône"", {'entities': [(36, 47, 'ARR'), (62, 81, 'DEP')]})"
je veux faire Brignoud Cambo-les-Bains,Cambo-les-Bains,Brignoud,"('je veux faire Brignoud Cambo-les-Bains', {'entities': [(23, 38, 'ARR'), (14, 22, 'DEP')]})"
Il y a-t-il des trains de Troyes à Ivry-sur-Seine,Ivry-sur-Seine,Troyes,"('Il y a-t-il des trains de Troyes à Ivry-sur-Seine', {'entities': [(35, 49, 'ARR'), (26, 32, 'DEP')]})"
je veux faire Mulhouse Dornach Mareuil-sur-Ourcq,Mareuil-sur-Ourcq,Mulhouse Dornach,"('je veux faire Mulhouse Dornach Mareuil-sur-Ourcq', {'entities': [(31, 48, 'ARR'), (14, 30, 'DEP')]})"
je veux faire Luc-en-Diois Vert Galant,Vert Galant,Luc-en-Diois,"('je veux faire Luc-en-Diois Vert Galant', {'entities': [(27, 38, 'ARR'), (14, 26, 'DEP')]})"
Comment me rendre à Massiac - Blesle depuis la gare de Quimper ?,Massiac - Blesle,Quimper,"('Comment me rendre à Massiac - Blesle depuis la gare de Quimper ?', {'entities': [(20, 36, 'ARR'), (55, 62, 'DEP')]})"
depuis Château-du-Loir je veux aller a Carentan pour boire un monaco.,Carentan,Château-du-Loir,"('depuis Château-du-Loir je veux aller a Carentan pour boire un monaco.', {'entities': [(39, 47, 'ARR'), (7, 22, 'DEP')]})"
depuis Cransac je veux aller a Illiers-Combray pour boire un monaco.,Illiers-Combray,Cransac,"('depuis Cransac je veux aller a Illiers-Combray pour boire un monaco.', {'entities': [(31, 46, 'ARR'), (7, 14, 'DEP')]})"
je voudrais aller de La Bohalle à Arbanats,Arbanats,La Bohalle,"('je voudrais aller de La Bohalle à Arbanats', {'entities': [(34, 42, 'ARR'), (21, 31, 'DEP')]})"
je veux faire Saint-Denis-de-Pile Cergy Saint-Christophe,Cergy Saint-Christophe,Saint-Denis-de-Pile,"('je veux faire Saint-Denis-de-Pile Cergy Saint-Christophe', {'entities': [(34, 56, 'ARR'), (14, 33, 'DEP')]})"
Je veux aller voir mon ami Albert à Angoulême en partant de Jaunay-Clan,Angoulême,Jaunay-Clan,"('Je veux aller voir mon ami Albert à Angoulême en partant de Jaunay-Clan', {'entities': [(36, 45, 'ARR'), (60, 71, 'DEP')]})"
Comment me rendre à La Garde depuis la gare de Donzère ?,La Garde,Donzère,"('Comment me rendre à La Garde depuis la gare de Donzère ?', {'entities': [(20, 28, 'ARR'), (47, 54, 'DEP')]})"
je voudrais aller de Étalans à Laboissière - Le Déluge,Laboissière - Le Déluge,Étalans,"('je voudrais aller de Étalans à Laboissière - Le Déluge', {'entities': [(31, 54, 'ARR'), (21, 28, 'DEP')]})"
Je veux aller voir mon ami Albert à Moyeuvre-Grande en partant de Champagnole Paul-Émile Victor,Moyeuvre-Grande,Champagnole Paul-Émile Victor,"('Je veux aller voir mon ami Albert à Moyeuvre-Grande en partant de Champagnole Paul-Émile Victor', {'entities': [(36, 51, 'ARR'), (66, 95, 'DEP')]})"
depuis Le Molay-Littry je veux aller a Tarare pour boire un monaco.,Tarare,Le Molay-Littry,"('depuis Le Molay-Littry je veux aller a Tarare pour boire un monaco.', {'entities': [(39, 45, 'ARR'), (7, 22, 'DEP')]})"
Il y a-t-il des trains de Granville à Cinq-Mars-la-Pile,Cinq-Mars-la-Pile,Granville,"('Il y a-t-il des trains de Granville à Cinq-Mars-la-Pile', {'entities': [(38, 55, 'ARR'), (26, 35, 'DEP')]})"
Je veux aller voir mon ami Albert à Saint-Geniès-de-Malgoirès en partant de Quiberon,Saint-Geniès-de-Malgoirès,Quiberon,"('Je veux aller voir mon ami Albert à Saint-Geniès-de-Malgoirès en partant de Quiberon', {'entities': [(36, 61, 'ARR'), (76, 84, 'DEP')]})"
